Date,Open,High,Low,Close,Volume
"May 19, 2020",33.68,34,32.86,33.4,"20,223,600"
"May 18, 2020",33.7,36,32.99,33.62,"47,534,600"
"May 15, 2020",32.26,32.89,31.59,32.47,"25,950,000"
"May 14, 2020",32.53,33.04,31.24,32.79,"32,912,600"
"May 13, 2020",32.3,33.06,30.83,33.02,"47,279,500"
"May 12, 2020",31.42,34.45,30.41,32.4,"89,586,000"
"May 11, 2020",31.98,32.38,31.41,31.64,"26,439,200"
"May 8, 2020",32.59,33.3,31.64,32.79,"69,458,100"
"May 7, 2020",29.6,31.65,29.58,30.93,"62,229,500"
"May 6, 2020",27.5,28.06,26.81,27.82,"31,076,500"
"May 5, 2020",28.25,28.91,27.44,28.07,"30,725,400"
"May 4, 2020",27.56,28.07,26.58,27.42,"23,428,300"
"May 1, 2020",29.13,29.72,28.33,28.39,"19,290,200"
"Apr 30, 2020",30.5,31.05,29.75,30.27,"20,095,400"
"Apr 29, 2020",31,32,30.33,31.37,"28,288,100"
"Apr 28, 2020",31,31.83,29.36,30.12,"27,383,200"
"Apr 27, 2020",29.74,30.49,29.41,30.08,"31,705,800"
"Apr 24, 2020",28.51,29.59,28.14,29.49,"20,634,900"
"Apr 23, 2020",28.75,29.25,28.24,28.33,"26,992,400"
"Apr 22, 2020",27.97,28.56,27.51,28.24,"21,199,400"
"Apr 21, 2020",27.5,28.15,26.6,27.19,"20,969,100"
"Apr 20, 2020",27.07,28.76,26.9,28.19,"32,224,000"
"Apr 17, 2020",28.69,28.79,27.26,28,"34,129,800"
"Apr 16, 2020",27.21,28.05,26.46,27.03,"24,088,700"
"Apr 15, 2020",26.82,27.79,26.44,27.41,"18,720,900"
"Apr 14, 2020",28,28.77,27.01,27.75,"32,625,300"
"Apr 13, 2020",27.04,28.08,26.47,27.99,"24,671,600"
"Apr 9, 2020",27.88,28.89,26.46,27.11,"36,190,200"
"Apr 8, 2020",26,27.88,25.79,26.94,"36,166,900"
"Apr 7, 2020",27.95,28.11,25.5,25.74,"36,433,800"
"Apr 6, 2020",24.13,26.09,23.93,25.99,"34,692,600"
"Apr 3, 2020",23.73,23.79,21.67,22.82,"40,572,000"
"Apr 2, 2020",25.01,25.2,23,23.68,"35,838,200"
"Apr 1, 2020",26.5,26.77,24.81,25.42,"38,538,400"
"Mar 31, 2020",27.75,28.25,26.92,27.92,"43,126,400"
"Mar 30, 2020",26.33,28.39,25.31,27.83,"37,725,700"
"Mar 27, 2020",25.82,28.03,25.07,27.28,"40,292,200"
"Mar 26, 2020",26.6,28.44,25.78,28.12,"41,336,400"
"Mar 25, 2020",26.18,28.45,25.31,26.19,"52,473,900"
"Mar 24, 2020",24.41,26.84,23.59,26.39,"58,505,000"
"Mar 23, 2020",21.07,22.73,19.73,22.4,"47,787,100"
"Mar 20, 2020",22.53,23.89,20.61,21.33,"76,529,700"
"Mar 19, 2020",15.96,21.26,15.7,20.49,"83,988,700"
"Mar 18, 2020",17.76,17.8,13.71,14.82,"78,286,200"
"Mar 17, 2020",20.18,20.31,18.01,18.91,"60,003,900"
"Mar 16, 2020",20.15,21.49,19.1,20.29,"56,914,000"
"Mar 13, 2020",24.01,24.81,21.13,22.6,"53,844,400"
"Mar 12, 2020",23.26,24.69,22.11,22.61,"54,042,000"
"Mar 11, 2020",27.91,28.14,25.61,26.24,"43,067,800"
"Mar 10, 2020",29.47,29.86,27,28.97,"36,308,300"
"Mar 9, 2020",28.5,30.32,28.15,28.17,"37,439,200"
"Mar 6, 2020",31.23,32.41,30.45,31.68,"34,808,700"
"Mar 5, 2020",33.47,33.57,31.97,32.21,"32,764,500"
"Mar 4, 2020",33.93,35.34,32.28,34.53,"44,738,600"
"Mar 3, 2020",34.02,34.18,31.9,33.04,"35,182,400"
"Mar 2, 2020",34.05,34.08,31.74,32.85,"46,662,000"
"Feb 28, 2020",31.81,34.29,31,33.87,"52,049,300"
"Feb 27, 2020",32.03,34.16,30.67,32.45,"66,557,200"
"Feb 26, 2020",35.53,36.17,33.89,34.45,"44,051,400"
"Feb 25, 2020",38.9,39.15,35.5,35.89,"49,281,600"
"Feb 24, 2020",38.21,39.14,37.75,38.31,"37,123,200"
"Feb 21, 2020",40.89,40.89,40.05,40.72,"20,595,500"
"Feb 20, 2020",41,41.19,39.85,40.92,"25,446,400"
"Feb 19, 2020",40.42,41.23,40.12,41.05,"23,287,300"
"Feb 18, 2020",39.49,40.27,39.45,40.18,"22,149,300"
"Feb 14, 2020",40.02,40.31,38.7,39.66,"32,014,200"
"Feb 13, 2020",40.93,41.55,40,40.09,"23,850,900"
"Feb 12, 2020",41.5,41.86,41.06,41.25,"26,444,900"
"Feb 11, 2020",40.25,41.47,40.05,41.27,"33,896,000"
"Feb 10, 2020",40.65,41.34,39.96,40.01,"60,840,800"
"Feb 7, 2020",39.98,41,38.86,40.63,"112,325,800"
"Feb 6, 2020",37.3,37.39,36.73,37.09,"52,699,300"
"Feb 5, 2020",38.89,38.97,36.74,36.81,"38,413,300"
"Feb 4, 2020",37.87,38.99,37.26,38.53,"32,425,900"
"Feb 3, 2020",36.75,37.64,36.53,37.59,"23,494,600"
"Jan 31, 2020",37,37.04,35.69,36.29,"21,553,700"
"Jan 30, 2020",36.82,37.13,35.95,36.68,"22,847,000"
"Jan 29, 2020",36.98,37.56,36.8,36.99,"16,863,000"
"Jan 28, 2020",37.14,37.33,36.04,37.01,"28,974,000"
"Jan 27, 2020",35.23,36.65,34.19,36.3,"18,818,000"
"Jan 24, 2020",37.5,37.67,36.25,36.8,"21,598,000"
"Jan 23, 2020",36.97,37.95,36.72,37.4,"21,366,000"
"Jan 22, 2020",37.94,37.94,36.92,37.04,"29,765,200"
"Jan 21, 2020",35.5,37.8,35.41,37.6,"48,746,700"
"Jan 17, 2020",34.97,35.25,34.65,35.13,"17,251,200"
"Jan 16, 2020",35.03,35.06,34.18,34.68,"21,947,800"
"Jan 15, 2020",34.9,35.15,34.51,35.01,"20,762,200"
"Jan 14, 2020",34.2,35.02,33.92,34.84,"26,019,000"
"Jan 13, 2020",34.29,34.34,33.55,34.14,"16,915,800"
"Jan 10, 2020",34.08,34.99,33.83,34.01,"34,266,400"
"Jan 9, 2020",34.45,34.47,33.22,33.97,"29,385,500"
"Jan 8, 2020",32.73,34.52,32.46,33.93,"43,944,400"
"Jan 7, 2020",31.79,32.84,31.36,32.81,"30,119,600"
"Jan 6, 2020",31.01,32.06,31,31.58,"21,204,700"
"Jan 3, 2020",30.62,31.43,30.48,31.37,"18,822,700"
"Jan 2, 2020",29.94,31,29.79,30.99,"20,578,900"
"Dec 31, 2019",29.11,29.95,28.9,29.74,"16,228,400"
"Dec 30, 2019",30.13,30.2,29.35,29.74,"18,805,900"
"Dec 27, 2019",30.8,31.06,30.17,30.17,"18,462,200"
"Dec 26, 2019",30.47,30.79,30.03,30.67,"22,200,800"
"Dec 24, 2019",30.33,30.84,30.11,30.44,"12,938,600"
"Dec 23, 2019",30.49,30.94,29.83,30.33,"31,209,100"
"Dec 20, 2019",30.1,31.03,29.85,30.45,"95,455,100"
"Dec 19, 2019",29.84,30.17,29.53,29.99,"33,799,700"
"Dec 18, 2019",29.62,30.14,29.34,30.13,"35,375,100"
"Dec 17, 2019",30.37,30.42,29.53,29.75,"38,250,700"
"Dec 16, 2019",29.11,30.13,29.1,30.05,"57,382,500"
"Dec 13, 2019",28.58,28.84,28.27,28.49,"25,431,600"
"Dec 12, 2019",28.29,28.75,28.19,28.69,"23,569,900"
"Dec 11, 2019",27.99,28.55,27.85,28.42,"23,281,700"
"Dec 10, 2019",27.73,27.99,27.6,27.89,"23,602,700"
"Dec 9, 2019",27.96,28.36,27.68,27.68,"20,977,300"
"Dec 6, 2019",28.4,28.92,27.8,27.86,"32,816,100"
"Dec 5, 2019",28.94,28.99,28.18,28.65,"22,504,300"
"Dec 4, 2019",29.1,29.2,28.7,29.06,"22,517,600"
"Dec 3, 2019",28.2,29.33,28.15,29.02,"25,252,400"
"Dec 2, 2019",29.32,29.52,28.7,28.98,"16,927,100"
"Nov 29, 2019",29.41,29.85,29.25,29.6,"8,115,100"
"Nov 27, 2019",29.42,29.59,28.88,29.49,"22,421,400"
"Nov 26, 2019",29.49,30.15,29.36,29.53,"28,746,600"
"Nov 25, 2019",28.69,29.6,28.38,29.11,"36,967,500"
"Nov 22, 2019",29.84,30.13,29.21,29.56,"42,302,900"
"Nov 21, 2019",28.67,29.6,28.5,29.46,"54,551,400"
"Nov 20, 2019",27.06,28.4,26.94,28.03,"52,746,600"
"Nov 19, 2019",26.77,27.22,26.61,27.05,"31,793,500"
"Nov 18, 2019",26.8,27,26.3,26.75,"35,916,100"
"Nov 15, 2019",26.18,26.8,25.95,26.79,"41,236,200"
"Nov 14, 2019",26.8,26.86,25.67,25.99,"27,893,900"
"Nov 13, 2019",26.47,26.82,26.14,26.71,"32,678,300"
"Nov 12, 2019",27.38,27.66,26.66,26.7,"37,095,400"
"Nov 11, 2019",27.03,27.21,26.23,27.14,"41,138,100"
"Nov 8, 2019",27.48,27.62,26.92,27.01,"44,923,600"
"Nov 7, 2019",26.8,27.42,26.45,27.38,"65,861,400"
"Nov 6, 2019",26.06,27.55,25.58,26.94,"130,965,700"
"Nov 5, 2019",29.13,29.3,27.97,28.02,"51,963,500"
"Nov 4, 2019",31.45,31.75,30.12,31.08,"28,787,400"
"Nov 1, 2019",31.45,31.7,30.74,31.37,"10,434,300"
"Oct 31, 2019",33.23,33.36,31.26,31.5,"15,912,400"
"Oct 30, 2019",32.51,33.8,32.11,33.75,"10,732,700"
